LDX (IND)	0xEE	6
STX (IND)	0xEF	6
SUBB (EXT)	0xF0	4
CMPB (EXT)	0xF1	4
SBCB (EXT)	0xF2	4
ANDB (EXT)	0xF4	4
BITB (EXT)	0xF5	4
LDAB (EXT)	0xF6	4
STAB (EXT)	0xF7	5
EORB (EXT)	0xF8	4
ADCB (EXT)	0xF9	4
ORAB (EXT)	0xFA	4
ADDB (EXT)	0xFB	4
LDX (EXT)	0xFE	5
STX (EXT)	0xFF	5
